Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
automation-bookstore,Chrome 140.0.7339.215,,,05-10-2025 15:16:54,05-10-2025 15:17:25,31.136s,PASSED
,,,,,,,
Test Cases/Task-Bookstore,Chrome 140.0.7339.215,,,05-10-2025 15:16:54,05-10-2025 15:16:58,4.535s,PASSED
"DATA BINDING - {""id_books"":""1"",""name_book"":""Test Automation in the Real World""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.215,,,05-10-2025 15:16:54,05-10-2025 15:16:54,0.030s,PASSED
"openBrowser("""")",Chrome 140.0.7339.215,,,05-10-2025 15:16:54,05-10-2025 15:16:56,1.660s,PASSED
"navigateToUrl(""https://automationbookstore.dev/"")",Chrome 140.0.7339.215,,,05-10-2025 15:16:56,05-10-2025 15:16:56,0.387s,PASSED
maximizeWindow(),Chrome 140.0.7339.215,,,05-10-2025 15:16:56,05-10-2025 15:16:56,0.346s,PASSED
"verifyElementText(findTestObject(""Automation Bookstore/title-automation-bookstore""), ""Automation Bookstore"")",Chrome 140.0.7339.215,,,05-10-2025 15:16:56,05-10-2025 15:16:57,0.280s,PASSED
"click(findTestObject(""Automation Bookstore/search_bar""))",Chrome 140.0.7339.215,,,05-10-2025 15:16:57,05-10-2025 15:16:57,0.294s,PASSED
"setText(findTestObject(""Automation Bookstore/search_bar""), name_book)",Chrome 140.0.7339.215,,,05-10-2025 15:16:57,05-10-2025 15:16:57,0.620s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:16:57,05-10-2025 15:16:58,0.238s,PASSED
"click(findTestObject(""Automation Bookstore/X-button""))",Chrome 140.0.7339.215,,,05-10-2025 15:16:58,05-10-2025 15:16:58,0.292s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:16:58,05-10-2025 15:16:58,0.236s,PASSED
closeBrowser(),Chrome 140.0.7339.215,,,05-10-2025 15:16:58,05-10-2025 15:16:58,0.104s,PASSED
,,,,,,,
Test Cases/Task-Bookstore,Chrome 140.0.7339.215,,,05-10-2025 15:16:58,05-10-2025 15:17:02,3.486s,PASSED
"DATA BINDING - {""id_books"":""2"",""name_book"":""Experiences of Test Automation""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.215,,,05-10-2025 15:16:58,05-10-2025 15:16:58,0.001s,PASSED
"openBrowser("""")",Chrome 140.0.7339.215,,,05-10-2025 15:16:58,05-10-2025 15:16:59,0.761s,PASSED
"navigateToUrl(""https://automationbookstore.dev/"")",Chrome 140.0.7339.215,,,05-10-2025 15:16:59,05-10-2025 15:17:00,0.390s,PASSED
maximizeWindow(),Chrome 140.0.7339.215,,,05-10-2025 15:17:00,05-10-2025 15:17:00,0.335s,PASSED
"verifyElementText(findTestObject(""Automation Bookstore/title-automation-bookstore""), ""Automation Bookstore"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:00,05-10-2025 15:17:00,0.253s,PASSED
"click(findTestObject(""Automation Bookstore/search_bar""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:00,05-10-2025 15:17:00,0.297s,PASSED
"setText(findTestObject(""Automation Bookstore/search_bar""), name_book)",Chrome 140.0.7339.215,,,05-10-2025 15:17:00,05-10-2025 15:17:01,0.598s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:01,05-10-2025 15:17:01,0.235s,PASSED
"click(findTestObject(""Automation Bookstore/X-button""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:01,05-10-2025 15:17:02,0.282s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:02,05-10-2025 15:17:02,0.231s,PASSED
closeBrowser(),Chrome 140.0.7339.215,,,05-10-2025 15:17:02,05-10-2025 15:17:02,0.097s,PASSED
,,,,,,,
Test Cases/Task-Bookstore,Chrome 140.0.7339.215,,,05-10-2025 15:17:02,05-10-2025 15:17:05,3.432s,PASSED
"DATA BINDING - {""id_books"":""3"",""name_book"":""Agile Testing""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.215,,,05-10-2025 15:17:02,05-10-2025 15:17:02,0.000s,PASSED
"openBrowser("""")",Chrome 140.0.7339.215,,,05-10-2025 15:17:02,05-10-2025 15:17:03,0.750s,PASSED
"navigateToUrl(""https://automationbookstore.dev/"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:03,05-10-2025 15:17:03,0.355s,PASSED
maximizeWindow(),Chrome 140.0.7339.215,,,05-10-2025 15:17:03,05-10-2025 15:17:03,0.331s,PASSED
"verifyElementText(findTestObject(""Automation Bookstore/title-automation-bookstore""), ""Automation Bookstore"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:03,05-10-2025 15:17:04,0.253s,PASSED
"click(findTestObject(""Automation Bookstore/search_bar""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:04,05-10-2025 15:17:04,0.293s,PASSED
"setText(findTestObject(""Automation Bookstore/search_bar""), name_book)",Chrome 140.0.7339.215,,,05-10-2025 15:17:04,05-10-2025 15:17:04,0.604s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:04,05-10-2025 15:17:05,0.231s,PASSED
"click(findTestObject(""Automation Bookstore/X-button""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:05,05-10-2025 15:17:05,0.273s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:05,05-10-2025 15:17:05,0.236s,PASSED
closeBrowser(),Chrome 140.0.7339.215,,,05-10-2025 15:17:05,05-10-2025 15:17:05,0.093s,PASSED
,,,,,,,
Test Cases/Task-Bookstore,Chrome 140.0.7339.215,,,05-10-2025 15:17:05,05-10-2025 15:17:11,5.246s,PASSED
"DATA BINDING - {""id_books"":""4"",""name_book"":""How Google Tests Software""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.215,,,05-10-2025 15:17:05,05-10-2025 15:17:05,0.001s,PASSED
"openBrowser("""")",Chrome 140.0.7339.215,,,05-10-2025 15:17:05,05-10-2025 15:17:06,0.730s,PASSED
"navigateToUrl(""https://automationbookstore.dev/"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:06,05-10-2025 15:17:08,2.149s,PASSED
maximizeWindow(),Chrome 140.0.7339.215,,,05-10-2025 15:17:08,05-10-2025 15:17:09,0.349s,PASSED
"verifyElementText(findTestObject(""Automation Bookstore/title-automation-bookstore""), ""Automation Bookstore"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:09,05-10-2025 15:17:09,0.246s,PASSED
"click(findTestObject(""Automation Bookstore/search_bar""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:09,05-10-2025 15:17:09,0.294s,PASSED
"setText(findTestObject(""Automation Bookstore/search_bar""), name_book)",Chrome 140.0.7339.215,,,05-10-2025 15:17:09,05-10-2025 15:17:10,0.620s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:10,05-10-2025 15:17:10,0.239s,PASSED
"click(findTestObject(""Automation Bookstore/X-button""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:10,05-10-2025 15:17:10,0.291s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:10,05-10-2025 15:17:10,0.231s,PASSED
closeBrowser(),Chrome 140.0.7339.215,,,05-10-2025 15:17:10,05-10-2025 15:17:11,0.089s,PASSED
,,,,,,,
Test Cases/Task-Bookstore,Chrome 140.0.7339.215,,,05-10-2025 15:17:11,05-10-2025 15:17:14,3.759s,PASSED
"DATA BINDING - {""id_books"":""5"",""name_book"":""Java For Testers""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.215,,,05-10-2025 15:17:11,05-10-2025 15:17:11,0.001s,PASSED
"openBrowser("""")",Chrome 140.0.7339.215,,,05-10-2025 15:17:11,05-10-2025 15:17:11,0.719s,PASSED
"navigateToUrl(""https://automationbookstore.dev/"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:11,05-10-2025 15:17:12,0.733s,PASSED
maximizeWindow(),Chrome 140.0.7339.215,,,05-10-2025 15:17:12,05-10-2025 15:17:12,0.332s,PASSED
"verifyElementText(findTestObject(""Automation Bookstore/title-automation-bookstore""), ""Automation Bookstore"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:12,05-10-2025 15:17:13,0.241s,PASSED
"click(findTestObject(""Automation Bookstore/search_bar""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:13,05-10-2025 15:17:13,0.293s,PASSED
"setText(findTestObject(""Automation Bookstore/search_bar""), name_book)",Chrome 140.0.7339.215,,,05-10-2025 15:17:13,05-10-2025 15:17:13,0.582s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:13,05-10-2025 15:17:14,0.234s,PASSED
"click(findTestObject(""Automation Bookstore/X-button""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:14,05-10-2025 15:17:14,0.289s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:14,05-10-2025 15:17:14,0.232s,PASSED
closeBrowser(),Chrome 140.0.7339.215,,,05-10-2025 15:17:14,05-10-2025 15:17:14,0.095s,PASSED
,,,,,,,
Test Cases/Task-Bookstore,Chrome 140.0.7339.215,,,05-10-2025 15:17:14,05-10-2025 15:17:18,3.461s,PASSED
"DATA BINDING - {""id_books"":""6"",""name_book"":""Advanced Selenium in Java""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.215,,,05-10-2025 15:17:14,05-10-2025 15:17:14,0.001s,PASSED
"openBrowser("""")",Chrome 140.0.7339.215,,,05-10-2025 15:17:14,05-10-2025 15:17:15,0.716s,PASSED
"navigateToUrl(""https://automationbookstore.dev/"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:15,05-10-2025 15:17:15,0.440s,PASSED
maximizeWindow(),Chrome 140.0.7339.215,,,05-10-2025 15:17:15,05-10-2025 15:17:16,0.326s,PASSED
"verifyElementText(findTestObject(""Automation Bookstore/title-automation-bookstore""), ""Automation Bookstore"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:16,05-10-2025 15:17:16,0.245s,PASSED
"click(findTestObject(""Automation Bookstore/search_bar""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:16,05-10-2025 15:17:16,0.285s,PASSED
"setText(findTestObject(""Automation Bookstore/search_bar""), name_book)",Chrome 140.0.7339.215,,,05-10-2025 15:17:16,05-10-2025 15:17:17,0.594s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:17,05-10-2025 15:17:17,0.237s,PASSED
"click(findTestObject(""Automation Bookstore/X-button""))",Chrome 140.0.7339.215,,,05-10-2025 15:17:17,05-10-2025 15:17:17,0.288s,PASSED
"verifyTextPresent(name_book, false)",Chrome 140.0.7339.215,,,05-10-2025 15:17:17,05-10-2025 15:17:18,0.230s,PASSED
closeBrowser(),Chrome 140.0.7339.215,,,05-10-2025 15:17:18,05-10-2025 15:17:18,0.090s,PASSED
