Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkout-saucelab,Safari 18.6,,,05-10-2025 15:19:48,05-10-2025 15:21:07,1m - 19.197s,PASSED
,,,,,,,
Test Cases/Task-Saucelab-Checkout,Safari 18.6,,,05-10-2025 15:19:48,05-10-2025 15:20:05,16.066s,PASSED
"DATA BINDING - {""id_product"":""1"",""productName"":""Sauce Labs Backpack""}",,,,,,,
Start listener action : beforeTestCase,Safari 18.6,,,05-10-2025 15:19:49,05-10-2025 15:19:49,0.029s,PASSED
"openBrowser("""")",Safari 18.6,,,05-10-2025 15:19:49,05-10-2025 15:19:51,2.222s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Safari 18.6,,,05-10-2025 15:19:51,05-10-2025 15:19:52,1.013s,PASSED
maximizeWindow(),Safari 18.6,,,05-10-2025 15:19:52,05-10-2025 15:19:52,0.127s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/login-credentials""), 10)",Safari 18.6,,,05-10-2025 15:19:52,05-10-2025 15:19:52,0.383s,PASSED
"setText(findTestObject(""Saucedemo-Shop/username_field""), ""standard_user"")",Safari 18.6,,,05-10-2025 15:19:52,05-10-2025 15:19:53,0.325s,PASSED
"setText(findTestObject(""Saucedemo-Shop/password_field""), ""secret_sauce"")",Safari 18.6,,,05-10-2025 15:19:53,05-10-2025 15:19:53,0.383s,PASSED
"click(findTestObject(""Saucedemo-Shop/login_btn""))",Safari 18.6,,,05-10-2025 15:19:53,05-10-2025 15:19:53,0.177s,PASSED
"verifyTextPresent(productName, false)",Safari 18.6,,,05-10-2025 15:19:53,05-10-2025 15:19:53,0.057s,PASSED
"productName = ""sauce-labs-backpack""",Safari 18.6,,,05-10-2025 15:19:53,05-10-2025 15:19:53,0.001s,PASSED
"click(findTestObject(""Saucedemo-Shop/Button_AddToCart_ByProduct"", [""productName"":productName]))",Safari 18.6,,,05-10-2025 15:19:53,05-10-2025 15:19:54,0.276s,PASSED
"click(findTestObject(""Saucedemo-Shop/shopping_cart""))",Safari 18.6,,,05-10-2025 15:19:54,05-10-2025 15:19:54,0.118s,PASSED
"click(findTestObject(""Saucedemo-Shop/checkout_btn""))",Safari 18.6,,,05-10-2025 15:19:54,05-10-2025 15:19:54,0.070s,PASSED
"verifyTextPresent(""Checkout: Your Information"", false)",Safari 18.6,,,05-10-2025 15:19:54,05-10-2025 15:19:54,0.016s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-fullname""), ""Felia"")",Safari 18.6,,,05-10-2025 15:19:54,05-10-2025 15:19:54,0.088s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-lastname""), ""Anjani"")",Safari 18.6,,,05-10-2025 15:19:54,05-10-2025 15:19:54,0.142s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-zipcode""), ""17812"")",Safari 18.6,,,05-10-2025 15:19:54,05-10-2025 15:19:54,0.096s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/continue-btn""), 10)",Safari 18.6,,,05-10-2025 15:19:54,05-10-2025 15:19:54,0.017s,PASSED
"click(findTestObject(""Saucedemo-Shop/continue-btn""))",Safari 18.6,,,05-10-2025 15:19:54,05-10-2025 15:19:54,0.082s,PASSED
"verifyTextPresent(""Checkout: Overview"", false)",Safari 18.6,,,05-10-2025 15:19:54,05-10-2025 15:19:54,0.021s,PASSED
"click(findTestObject(""Saucedemo-Shop/finish_btn""))",Safari 18.6,,,05-10-2025 15:19:54,05-10-2025 15:19:54,0.091s,PASSED
