Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login-saucelab,Chrome 140.0.7339.215,,,05-10-2025 15:17:55,05-10-2025 15:18:43,47.966s,PASSED
,,,,,,,
Test Cases/Task-Saucelab-Login,Chrome 140.0.7339.215,,,05-10-2025 15:17:55,05-10-2025 15:18:02,6.582s,PASSED
"DATA BINDING - {""password"":""secret_sauce"",""expected"":"""",""testType"":""P"",""username"":""visual_user""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.215,,,05-10-2025 15:17:55,05-10-2025 15:17:56,0.028s,PASSED
"openBrowser("""")",Chrome 140.0.7339.215,,,05-10-2025 15:17:56,05-10-2025 15:17:57,1.556s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 140.0.7339.215,,,05-10-2025 15:17:57,05-10-2025 15:17:58,0.678s,PASSED
maximizeWindow(),Chrome 140.0.7339.215,,,05-10-2025 15:17:58,05-10-2025 15:17:58,0.339s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/login-credentials""), 2)",Chrome 140.0.7339.215,,,05-10-2025 15:17:58,05-10-2025 15:18:00,1.596s,PASSED
"setText(findTestObject(""Saucedemo-Shop/username_field""), username)",Chrome 140.0.7339.215,,,05-10-2025 15:18:00,05-10-2025 15:18:00,0.650s,PASSED
"setText(findTestObject(""Saucedemo-Shop/password_field""), password)",Chrome 140.0.7339.215,,,05-10-2025 15:18:00,05-10-2025 15:18:01,0.546s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/login_btn""), 2)",Chrome 140.0.7339.215,,,05-10-2025 15:18:01,05-10-2025 15:18:01,0.232s,PASSED
"click(findTestObject(""Saucedemo-Shop/login_btn""))",Chrome 140.0.7339.215,,,05-10-2025 15:18:01,05-10-2025 15:18:01,0.325s,PASSED
"if (testType == ""P"")",Chrome 140.0.7339.215,,,05-10-2025 15:18:01,05-10-2025 15:18:02,0.471s,PASSED
closeBrowser(),Chrome 140.0.7339.215,,,05-10-2025 15:18:02,05-10-2025 15:18:02,0.102s,PASSED
,,,,,,,
Test Cases/Task-Saucelab-Login,Chrome 140.0.7339.215,,,05-10-2025 15:18:02,05-10-2025 15:18:08,5.510s,PASSED
"DATA BINDING - {""password"":""secret_sauce"",""expected"":"""",""testType"":""P"",""username"":""standard_user""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.215,,,05-10-2025 15:18:02,05-10-2025 15:18:02,0.000s,PASSED
"openBrowser("""")",Chrome 140.0.7339.215,,,05-10-2025 15:18:02,05-10-2025 15:18:03,0.742s,PASSED
